ano_assinatura_contrato;codigo_orgao_entidade_contratante;nome_orgao_entidade_contratante;indicador_fornecedor_estrangeiro;nome_empresarial_nome_fornecedor;nome_empresarial_nome_fornecedor_1;cnpj_cpf_fornecedor_formatado;nome_empresarial_nome_fornecedor_2;nome_empresarial_nome_fornecedor_3;tipo_pessoa_fornecedor;numero_processo_formatado;numero_contrato;contrato;indicador_termo_de_contrato;situacao_contrato;descricao_tipo_de_contrato;objeto_contrato;unnamed_17;unnamed_18;unnamed_19;unnamed_20;unnamed_21;unnamed_22;unnamed_23;unnamed_24;unnamed_25;unnamed_26;unnamed_27;unnamed_28;unnamed_29;unnamed_30;unnamed_31;unnamed_32;unnamed_33;unnamed_34;unnamed_35;unnamed_36;unnamed_37;unnamed_38;unnamed_39;unnamed_40;unnamed_41;unnamed_42;unnamed_43;unnamed_44;unnamed_45;unnamed_46;unnamed_47;unnamed_48;unnamed_49;unnamed_50;unnamed_51;unnamed_52;data_assinatura_contrato;data_inicio_vigencia_contrato;data_termino_vigencia_contrato;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;valor_total_atualizado;valor_despesa_empenhada;valor_despesa_liquidada
2010,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;CSL CONSULTORIA DE ENGENHARIA E ECONOMIA LTDA;CSL CONSULTORIA DE ENGENHARIA E ECONOMIA LTDA;38.734.083/0001-15;CSL CONSULTORIA DE ENGENHARIA E ECONOMIA LTDA;CSL CONSULTORIA DE ENGENHARIA E ECONOMIA LTDA;PESSOA JURÍDICA;2301762 000126/2009;5029;PRC-29.010/2010-D;SIM;Rescindido;Obra;Serviços de Engenharia de Natureza Continuada, para Apoio Técnico e Administrativo ao Gerenciamento e Execução das Ações Previstas no PROSEG - Programa de Aumento da Capacidade e Segurança dos Corredores de Transportes  CONTRATO PRC 29.010/10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010-02-24;2010-03-04;2016-03-31;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=34019;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=9690;15584723,12;13515968,25;13515968,25
2011,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;PAVIDEZ ENGENHARIA LTDA;PAVIDEZ ENGENHARIA LTDA;01.744.153/0001-06;PAVIDEZ ENGENHARIA LTDA;PAVIDEZ ENGENHARIA LTDA;PESSOA JURÍDICA;2301762 000016/2011;5475;PRC-22.018/2011-C;SIM;Rescindido;Obra;EXECUÇÃO DOS SERVIÇOS DE MANUTENÇÃO RODOVIÁRIA, DE FORMA CONTÍNUA,  DAS OBRAS DISCRIMINADAS NO OBJETO CONTRATUAL, RESTRITA AO ÂMBITO DE CIRCUNSCRIÇÃO DA 24ª CRG DO DER/MG - PASSOS/MG, INCLUÍDOS NO PROGRAMA PLURIANUAL DE AÇÃO GOVERNAMENTAL-PPAG.  PRC-22.018/11 PAVIDEZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011-07-05;2011-07-13;2016-07-13;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=90876;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=20993;1463887,08;0,0;0,0
2012,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;TAMASA ENGENHARIA S/A;TAMASA ENGENHARIA S/A;18.823.724/0001-09;TAMASA ENGENHARIA S/A;TAMASA ENGENHARIA S/A;PESSOA JURÍDICA;2301520 000046/2012;5740;PRC-22.038/2012;SIM;Encerrado;Obra;PRC-22.038/12  Execução trabalhos de melhoramento e pavimentação do trecho: ENTRº BR/262 - ENTRº SÃO JOSÉ DO GOIABAL - CAVA GRANDE na Rodovia LMG/760 - MG/320, na extensão de 56,80 km.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2012-10-19;2012-10-26;2024-03-25;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=144812;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=40689;186199083,57;158789265,79;158789265,79
2013,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;CADAR ENGENHARIA CONSTRUCOES LTDA;CADAR ENGENHARIA CONSTRUCOES LTDA;17.279.381/0001-92;CADAR ENGENHARIA CONSTRUCOES LTDA;CADAR ENGENHARIA CONSTRUCOES LTDA;PESSOA JURÍDICA;2301520 000064/2012;5859;PRC-22.024/2013;SIM;Vencido;Obra;PRC-22.024/13 - Serviços de melhoramento e pavimentação do Trecho Caeté - Barão de Cocais, com 24,60km de Extensão, na Rodovia MGC/262. Implantação, pavimentação e restauração com aumento de capacidade no Contorno de Barão de Cocais, com 3,90km de extensão, na Rodovia Contorno.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013-03-05;2013-03-08;2026-06-03;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=149772;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=54812;126128276,63;115582671,78;107315898,33
2013,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;33.146.648/0001-20;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;PESSOA JURÍDICA;2301520 000070/2012;5895;;SIM;Vencido;Obra;"PRC-24.021/13 - Execução dos serviços de Apoio aos Trabalhos de Supervisão de Obras Rodoviárias dos Trechos Constantes do LOTE 02, discriminados abaixo:   -  Núcleo  02  e  nos trechos:  Carandaí ¿ Lagoa Dourada (Entrº BR/383) e OAE;  Nazareno ¿ Mercês de Água Limpa e OAE;  Santa Rita de Jacutinga ¿ Divisa MG/RJ;  Itabirito ¿ Rio Acima;  Pedra Bonita ¿ Entrº BR/116 e Variante em Pedra Bonita e OAE;  Ouro Preto (Entrº MG/129) ¿ Distrito de Lavras Novas. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013-07-24;2013-08-01;2023-03-04;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=153118;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=57205;12835976,59;6029777,79;6029777,79
2013,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;CONSTRUTORA ASTECA LTDA;CONSTRUTORA ASTECA LTDA;71.385.777/0001-60;CONSTRUTORA ASTECA LTDA;CONSTRUTORA ASTECA LTDA;PESSOA JURÍDICA;2301762 000051/2013;5997;PRC-22.090/2013-DO 2;SIM;Encerrado;Obra;EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO FUNCIONAL, NAS RODOVIAS LMG-744 E MG-010, NOS TRECHOS DISCRIMINADOS NO OBJETO DESTE CONTRATO, SOB CIRCUNSCRIÇÃO DA 2ª CRG DO DER/MG - GUANHÃES/MG. OBRA INSERIDA NO PROGRAMA MINAS LOGÍSTICA, NA AÇÃO ¿RECUPERAÇÃO E MANUTENÇÃO DA MALHA VIÁRIA PAVIMENTADA E NÃO PAVIMENTADA¿ E TAMBÉM INCLUÍDA NO PLANO PLURIANUAL DA AÇÃO GOVERNAMENTAL - PPAG.  PRC 22.090/13 ASTECA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013-11-11;2013-11-23;2022-11-23;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=189228;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=62893;26287764,01;24170916,68;24170916,68
2013,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;CONTECNICA CONSULTORIA TECNICA S.A. ''EM RECUPERACAO JUDICIAL'';CONTECNICA CONSULTORIA TECNICA S.A. ''EM RECUPERACAO JUDICIAL'';24.699.100/0001-16;CONTECNICA CONSULTORIA TECNICA S.A. ''EM RECUPERACAO JUDICIAL'';CONTECNICA CONSULTORIA TECNICA S.A. ''EM RECUPERACAO JUDICIAL'';PESSOA JURÍDICA;2301520 000070/2012;5832;;SIM;Rescindido;Obra;"PRC-24.015/13 - Apoio à Supervisão de Obras Rodoviárias dos trechos constantes do LOTE 04, e  nos trechos:  Água Boa  -  Malacacheta; Entrº BR/262  -  Entrº São José do Goiabal  -  Cava  Grande e OAE; Dores de Guanhães  -  Joanésia (Entrº MG/232); Santa Bárbara  -  São Gonçalo do Rio Abaixo  e  OAE; Bom Jesus do Amparo  -  Nova União; Peçanha  -  Entrº Coroaci. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013-04-26;2013-05-01;2018-05-01;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=153118;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=50972;17083818,18;2051620,17;2051620,17
2013,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;DIEFRA ENGENHARIA E CONSULTORIA LTDA;DIEFRA ENGENHARIA E CONSULTORIA LTDA;17.579.459/0001-94;DIEFRA ENGENHARIA E CONSULTORIA LTDA;DIEFRA ENGENHARIA E CONSULTORIA LTDA;PESSOA JURÍDICA;2301520 000070/2012;5826;;SIM;Vigente publicado;Obra;"PRC-24.011/13 - Serviços de Apoio aos trabalhos de Supervisão de Obras Rodoviárias dos trechos constantes do LOTE 07 e  nos trechos: Carmo do Paranaíba (Entrº BR/354)  -  Distrito Quintinos e OAE;  Entrº LMG/690 (Paracatu) - Entrº Entre Ribeiros - Ponte sobre o Rio Paracatu;  Ponte sobre o Rio Paracatu  -  Entrº MG/181  e  OAE;  Arinos (Entrº MGC/479)  -  Riachinho (Entrº MG/181).   ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013-04-10;2013-04-17;2027-03-20;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=153118;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=50517;22882620,44;13579968,6;10239783,85
2013,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;ENECON ENGENHARIA LTDA.;ENECON ENGENHARIA LTDA.;33.830.043/0004-04;ENECON ENGENHARIA LTDA.;ENECON ENGENHARIA LTDA.;PESSOA JURÍDICA;2301520 000070/2012;5823;;SIM;Encerrado;Obra;"PRC-24.008/13 - Serviços de Apoio à Supervisão de Obras Rodoviárias dos trechos constantes do Lote 06 e  nos trechos: Araguari (Entrº BR/050)  -  Entrº BR/365; Campina Verde -  Itapagipe  e OAE; Uberaba (Entrº BR/050)  -  Conceição das Alagoas; Frutal (Entrº BR/364)  -  Garimpo do Bandeira  e Frutal  -  Entrº Fazenda Boa Vista; Iraí de Minas (Entrº LMG/782)  -  Romaria (Entrº BR/365); Perdizes (Entrº BR/452)  -  Entrº BR/262; Serra do Salitre  -  Rio Paranaíba; Contorno Sul de Uberlândia  e OAE;  Conceição das Alagoas  -  Capelinha do Barreiro e Acesso à Poncianos.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013-04-09;2013-04-16;2023-03-14;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=153118;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=50425;21133494,0;16014001,7;16014001,7
2013,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;ENGESOLO ENGENHARIA LTDA;ENGESOLO ENGENHARIA LTDA;17.376.138/0001-92;ENGESOLO ENGENHARIA LTDA;ENGESOLO ENGENHARIA LTDA;PESSOA JURÍDICA;2301520 000070/2012;5825;PRC-24.010/2013;SIM;Encerrado;Obra;"PRC-24.010/13 - Serviços de Apoio aos trabalhos de Supervisão de Obras Rodoviárias dos trechos constantes do LOTE 01 e  nos trechos: Nova Lima  -  Sabará; Papagaios  -  Entrº BR/352 (Pitangui)  e OAE;  Anel Viário de Sete Lagoas (Av. Norte/Sul -  MG424) e OAE; Esmeraldas -  São José da Varginha; LMG/800 -  Sete Lagoas; Contorno de Matozinhos e Contorno de Prudente de Morais;  Contorno Norte de Lagoa Santa e OAE; Baldim  -  Santana do Riacho;  Acesso à Inhotim. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013-04-10;2013-04-17;2018-04-17;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=153118;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=50594;20434325,81;8957584,71;8957584,71
